z,n,bindingEnergy(keV)
29,49,8354.6695
30,49,8450.5825
31,49,8508.4545
32,49,8580.6587
33,49,8611.4153
34,49,8658.556
35,49,8671.3294
36,49,8698.5633
37,49,8696.9014
38,49,8705.2363
39,49,8682.5396
40,49,8673.3865
41,49,8633.377
42,49,8613.6286
43,49,8563.544
44,49,8531.4627
45,49,8472.4033
46,49,8428.9807
47,49,8360.2903
48,49,8310.3013
49,49,8230
50,49,8161
26,50,7943
27,50,8082
28,50,8238
29,50,8320.938
30,50,8423.5457
31,50,8483.3576
32,50,8563.7567
33,50,8599.654
34,50,8658.7935
35,50,8673.5926
36,50,8712.0295
37,50,8710.9843
38,50,8732.5958
39,50,8714.011
40,50,8709.9699
41,50,8670.8983
42,50,8657.7312
43,50,8608.5782
44,50,8583.662
45,50,8525.3707
46,50,8490.0207
47,50,8423.2121
48,50,8378.2953
49,50,8304
50,50,8251.626
27,51,7997
28,51,8150
29,51,8246
30,51,8351.9262
31,51,8421.0494
32,51,8504.3462
33,51,8547.9385
34,51,8610.3045
35,51,8632.3659
36,51,8675.284
37,51,8681.1154
38,51,8705.923
39,51,8693.3778
40,51,8693.3149
41,51,8662.3731
42,51,8651.4095
43,51,8608.7373
44,51,8587.4706
45,51,8534.6735
46,51,8502.4303
47,51,8441.6866
48,51,8398.3734
49,51,8329.7495
50,51,8281.103
51,51,8181
28,52,8088
29,52,8185
30,52,8301.1175
31,52,8372.5756
32,52,8465.5244
33,52,8510.9851
34,52,8581.8224
35,52,8605.9105
36,52,8656.8499
37,52,8664.1895
38,52,8696.0043
39,52,8684.9421
40,52,8692.6783
41,52,8664.1849
42,52,8662.3341
43,52,8622.6911
44,52,8609.413
45,52,8559.8949
46,52,8533.8999
47,52,8474.7744
48,52,8437.7375
49,52,8370.426
50,52,8324.4313
51,52,8234
52,52,8157.3256
28,53,8000
29,53,8108
30,53,8226
31,53,8307.525
32,53,8401.7689
33,53,8456.7215
34,53,8529.092
35,53,8563.7479
36,53,8614.8158
37,53,8631.5262
38,53,8663.8759
39,53,8661.5894
40,53,8671.6207
41,53,8648.9014
42,53,8648.7212
43,53,8614.8673
44,53,8604.2799
45,53,8560.8038
46,53,8537.9332
47,53,8484.9947
48,53,8450.3657
49,53,8388.5719
50,53,8343
51,53,8258
52,53,8186.8368
53,53,8089
28,54,7935
29,54,8044
30,54,8171
31,54,8253.5687
32,54,8354.63
33,54,8413.8521
34,54,8495.0045
35,54,8530.7802
36,54,8591.2599
37,54,8607.5621
38,54,8648.907
39,54,8648.9054
40,54,8666.8016
41,54,8647.2133
42,54,8653.988
43,54,8623.7254
44,54,8620.314
45,54,8580.1959
46,54,8563.5652
47,54,8512.5465
48,54,8484.1322
49,54,8423.7199
50,54,8383.9114
51,54,8300.9923
52,54,8236.7682
53,54,8146
54,54,8074.8886
29,55,7965
30,55,8090
31,55,8182
32,55,8285
33,55,8351
34,55,8435.2799
35,55,8478.1865
36,55,8541.7519
37,55,8569.4225
38,55,8612.7875
39,55,8622.8068
40,55,8643.5924
41,55,8628.8868
42,55,8635.0926
43,55,8610.0047
44,55,8608.7132
45,55,8575.1732
46,55,8560.8644
47,55,8517.165
48,55,8489.7547
49,55,8435.238
50,55,8397.229
51,55,8322.0124
52,55,8258
53,55,8176
54,55,8107.3071
30,56,8032
31,56,8124
32,56,8236
33,56,8304
34,56,8395.7672
35,56,8441.9242
36,56,8512.675
37,56,8540.9209
38,56,8593.8344
39,56,8604.9644
40,56,8635.3283
41,56,8623.1384
42,56,8635.1691
43,56,8613.6105
44,56,8619.3593
45,56,8588.2172
46,56,8580.2887
47,56,8537.652
48,56,8517.6232
49,56,8464.7045
50,56,8432.0383
51,56,8358.7344
52,56,8303.7221
53,56,8220.0164
54,56,8159.2808
55,56,8070
31,57,8050
32,57,8161
33,57,8240
34,57,8334.8382
35,57,8384.9123
36,57,8458.1085
37,57,8492.7644
38,57,8549.0875
39,57,8569.4269
40,57,8603.7182
41,57,8596.3016
42,57,8607.7982
43,57,8595.1184
44,57,8601.366
45,57,8576.9818
46,57,8571.0173
47,57,8536.185
48,57,8516.8532
49,57,8470.1213
50,57,8439.4946
51,57,8372.6666
52,57,8319.3305
53,57,8244.0767
54,57,8182
55,57,8102
56,57,8035
32,58,8109
33,58,8189
34,58,8290
35,58,8345.5986
36,58,8424.3318
37,58,8460.1967
38,58,8521.2041
39,58,8541.4616
40,58,8581.3984
41,58,8578.9859
42,58,8604.6626
43,58,8593.1366
44,58,8607.4275
45,58,8584.1927
46,58,8584.8485
47,58,8550.3708
48,58,8539.0492
49,58,8494.0439
50,58,8469.0273
51,58,8404.8161
52,58,8358.116
53,58,8282.9343
54,58,8230.0646
55,58,8148.623
56,58,8089.6865
33,59,8121
34,59,8225
35,59,8287
36,59,8365.9963
37,59,8408.8963
38,59,8471.8489
39,59,8497.6162
40,59,8539.225
41,59,8548.4683
42,59,8572.9159
43,59,8570.6514
44,59,8584.3656
45,59,8568.9501
46,59,8570.6509
47,59,8544.6397
48,59,8533.3524
49,59,8495.2516
50,59,8470.5183
51,59,8412.6821
52,59,8367.7635
53,59,8299.8801
54,59,8247.9277
55,59,8173.5711
56,59,8116
57,59,8032
34,60,8180
35,60,8245
36,60,8330.8721
37,60,8376.1872
38,60,8445.7385
39,60,8476.6938
40,60,8522.1066
41,60,8534.8355
42,60,8568.3994
43,60,8566.1045
44,60,8587.3998
45,60,8572.7053
46,60,8579.9934
47,60,8553.9012
48,60,8550.0196
49,60,8513.1027
50,60,8496.0875
51,60,8440.1203
52,60,8400.6527
53,60,8333.7528
54,60,8289.2054
55,60,8216
56,60,8162
57,60,8086
34,61,8112
35,61,8184
36,61,8269.8645
37,61,8330.7294
38,61,8402.5235
39,61,8439.4151
40,61,8485.8439
41,61,8504.8675
42,61,8538.2672
43,61,8541.107
44,61,8561.9016
45,61,8553.9317
46,61,8560.8946
47,61,8542.0262
48,61,8538.7646
49,61,8508.9087
50,61,8493.131
51,61,8443.633
52,61,8404.6366
53,61,8344.779
54,61,8300.9704
55,61,8235
56,61,8187.9546
57,61,8114
58,61,8058
35,62,8140
36,62,8234
37,62,8295.301
38,62,8372.2012
39,62,8413.3305
40,62,8466.294
41,62,8488.332
42,62,8527.9063
43,62,8534.6074
44,62,8560.9406
