z,n,bindingEnergy(keV),xx,yy,zz
13,13,8149.7653,13,13,0.0733169743485046
14,13,8124.342,13,14,0.07620777423031788
15,13,7907.4842,13,15,0.10086596190108765
16,13,7746.3826,13,16,0.11918429532908181
17,13,7472.1698,13,17,0.1503641315356985
18,13,7252.0,13,18,0.17539891584060163
19,13,6920.0,13,19,0.2131495446245123
20,13,6657.0,13,20,0.243054410197309
5,14,4719.6346,14,5,0.4633458621075278
6,14,5961.4356,14,6,0.3221447519434041
7,14,6609.0159,14,7,0.24851052449438749
8,14,7364.8722,14,8,0.162564588966435
9,14,7622.3447,14,9,0.13328823725087646
10,14,7993.3252,14,10,0.09110526393289575
11,14,8101.3979,14,11,0.07881667242875445
12,14,8333.8711,14,12,0.05238290894861031
13,14,8331.5533,14,13,0.052646458368475924
14,14,8447.7445,14,14,0.039434738913183276
15,14,8251.2368,14,15,0.061778983599569015
16,14,8122.7081,14,16,0.07639355962902283
17,14,7869.2101,14,17,0.1052179840129498
18,14,7700.0089,14,18,0.12445729633521563
19,14,7392.0,14,19,0.15947997599196462
20,14,7173.0,14,20,0.18438174618376113
21,14,6828.0,14,21,0.22361056223933096
5,15,4405.6529,15,5,0.4990476892209049
6,15,5674.0,15,6,0.35482810927738195
7,15,6378.5347,15,7,0.274717784201828
8,15,7163.4856,15,8,0.18546359733587447
9,15,7463.5831,15,9,0.15134049696997198
10,15,7839.7994,15,10,0.10856217804299495
11,15,8004.2013,15,11,0.08986857834941187
12,15,8263.8525,15,12,0.06034449381779439
13,15,8309.8969,15,13,0.055108936432318956
14,15,8448.6361,15,14,0.03933335800769022
15,15,8353.5064,15,15,0.050150243522825044
16,15,8281.8013,15,16,0.05830359476382874
17,15,8072.4058,15,17,0.082113268828652
18,15,7928.9559,15,18,0.09842448546717342
19,15,7670.0,15,19,0.12786950972109967
20,15,7476.0,15,20,0.1499286120827824
21,15,7166.0,15,21,0.18517769317619293
22,15,6926.0,15,22,0.21246730434528505
5,16,4152.5265,16,5,0.5278298601902052
6,16,5421.0778,16,6,0.38358706133584586
7,16,6236.6721,16,7,0.29084851417448
8,16,7039.6855,16,8,0.1995404998012692
9,16,7336.3065,16,9,0.16581270082382227
10,16,7751.911,16,10,0.11855567913580167
11,16,7956.9467,16,11,0.09524174359920745
12,16,8272.4531,16,12,0.05936654786020734
13,16,8348.4647,16,13,0.050723518658788325
14,16,8520.6549,16,14,0.03114433697075436
15,16,8481.1677,16,15,0.03563429669640494
16,16,8493.1301,16,16,0.034274091510366866
17,16,8304.7557,16,17,0.05569352538624617
18,16,8197.6724,16,18,0.06786961546834303
19,16,7965.8409,16,19,0.09423041335062365
20,16,7815.8799,16,20,0.11128198576949122
21,16,7525.0,16,21,0.1443569831357594
22,16,7319.0,16,22,0.16778056605589675
23,16,7031.0,16,23,0.20052809945880723
6,17,5077.0,17,6,0.4227110170604984
7,17,5887.0,17,7,0.3306085793648127
8,17,6727.8058,17,8,0.2350033154034903
9,17,7082.2497,17,9,0.19470066451908796
10,17,7520.4151,17,10,0.144878317045131
11,17,7799.2644,17,11,0.11317127966274143
12,17,8113.5317,17,12,0.07743697791207305
13,17,8261.1049,17,13,0.06065691438299525
14,17,8458.2916,17,14,0.03823546283834356
15,17,8464.1203,17,15,0.03757270051908823
16,17,8497.6304,17,16,0.03376237718893249
17,17,8398.9706,17,17,0.04498065877235069
18,17,8327.4621,17,18,0.05311165527353823
19,17,8142.2233,17,19,0.07417455037949339
20,17,8003.4567,17,20,0.08995324436806396
21,17,7751.0,17,21,0.11865926595153109
22,17,7566.0,17,22,0.13969500789437284
23,17,7310.0,17,23,0.16880392647473774
24,17,7116.0,17,24,0.19086302883642048
7,18,5613.0,18,7,0.36176421878285947
8,18,6497.479,18,8,0.26119301879441204
9,18,6879.6662,18,9,0.21773576845356202
10,18,7388.3463,18,10,0.15989542621000008
11,18,7682.1522,18,11,0.12648772300089528
12,18,8054.425,18,12,0.08415780649744042
13,18,8225.518,18,13,0.0647033838151343
14,18,8481.469,18,14,0.0356000368637166
15,18,8513.8073,18,15,0.03192295506009368
16,18,8583.4986,18,16,0.02399858639814134
17,18,8520.279,18,17,0.0311870793242478
18,18,8519.9096,18,18,0.031229082584105505
19,18,8339.848,18,19,0.05170329529445805
